_source,_record,kind,system,M,nao,steps,seed,E,wall_s,peak_gpu_mb,E_grid5,grid_bias_mha,basis,conv
exp4_anion,RESULT,splat,f_anion,30,14,12000,0,-99.80178251,94,761,-99.80178251,-6.38e-08,,
exp4_anion,RESULT,splat,f_anion,30,14,12000,1,-99.79711413,68,58,-99.79711413,0.00000363,,
exp4_anion,RESULT,splat,f_anion,30,14,12000,2,-99.80099249,72,58,-99.80099250,0.00001013,,
exp4_anion,RESULT,splat,f_anion,42,14,12000,0,-99.81047840,105,115,-99.81047840,9.24e-07,,
exp4_anion,RESULT,splat,f_anion,42,14,12000,1,-99.81009722,91,88,-99.81009722,-0.00000339,,
exp4_anion,RESULT,splat,f_anion,42,14,12000,2,-99.81077749,92,88,-99.81077749,0.00000558,,
exp4_anion,RESULT,splat,f_anion,55,14,12000,0,-99.81260175,130,761,-99.81260176,0.00000262,,
exp4_anion,RESULT,splat,f_anion,55,14,12000,1,-99.81276431,104,112,-99.81276431,0.00000385,,
exp4_anion,RESULT,splat,f_anion,55,14,12000,2,-99.81274737,102,112,-99.81274737,0.00000110,,
exp4_anion,RESULT,splat,f_anion,56,14,12000,0,-99.81247429,99,185,-99.81247429,0.00000263,,
exp4_anion,RESULT,splat,f_anion,56,14,12000,1,-99.81277041,82,110,-99.81277042,0.00000268,,
exp4_anion,RESULT,splat,f_anion,56,14,12000,2,-99.81275213,81,110,-99.81275213,-0.00000523,,
exp4_anion,RESULT,splat,f_anion,91,14,12000,0,-99.81330017,221,761,-99.81330017,0.00000200,,
exp4_anion,RESULT,splat,f_anion,91,14,12000,1,-99.81336483,192,236,-99.81336483,0.00000135,,
exp4_anion,RESULT,splat,f_anion,91,14,12000,2,-99.81325959,189,236,-99.81325959,0.00000253,,
exp4_anion,RESULT,splat,oh_anion,146,19,12000,0,-75.77342183,387,531,-75.77342186,0.00002582,,
exp4_anion,RESULT,splat,oh_anion,146,19,12000,1,-75.77348420,349,489,-75.77348203,-0.00216929,,
exp4_anion,RESULT,splat,oh_anion,146,19,12000,2,-75.77335090,351,489,-75.77335099,0.00008834,,
exp4_anion,RESULT,splat,oh_anion,19,19,12000,0,-75.50930673,83,115,-75.50930673,0.00000596,,
exp4_anion,RESULT,splat,oh_anion,19,19,12000,1,-75.54983143,69,77,-75.54983143,-0.00000163,,
exp4_anion,RESULT,splat,oh_anion,19,19,12000,2,-75.59247978,68,77,-75.59247978,0.00000659,,
exp4_anion,RESULT,splat,oh_anion,38,19,12000,0,-75.73203467,117,158,-75.73203455,-0.00012179,,
exp4_anion,RESULT,splat,oh_anion,38,19,12000,1,-75.73035972,99,147,-75.73031099,-0.04873618,,
exp4_anion,RESULT,splat,oh_anion,38,19,12000,2,-75.74002261,100,147,-75.74002243,-0.00018468,,
exp4_anion,RESULT,splat,oh_anion,44,19,12000,0,-75.75437407,112,530,-75.75437416,0.00008918,,
exp4_anion,RESULT,splat,oh_anion,44,19,12000,1,-75.75439706,91,164,-75.75439714,0.00008598,,
exp4_anion,RESULT,splat,oh_anion,44,19,12000,2,-75.75612915,86,164,-75.75612910,-0.00004899,,
exp4_anion,RESULT,splat,oh_anion,57,19,12000,0,-75.76205820,110,203,-75.76205823,0.00002642,,
exp4_anion,RESULT,splat,oh_anion,57,19,12000,1,-75.76161440,95,203,-75.76161447,0.00006744,,
exp4_anion,RESULT,splat,oh_anion,57,19,12000,2,-75.76125150,94,203,-75.76125152,0.00002221,,
exp4_anion,RESULT,splat,oh_anion,76,19,12000,0,-75.76399208,137,289,-75.76399211,0.00002618,,
exp4_anion,RESULT,splat,oh_anion,76,19,12000,1,-75.76427864,121,289,-75.76427865,0.00000767,,
exp4_anion,RESULT,splat,oh_anion,76,19,12000,2,-75.76428813,121,289,-75.76428808,-0.00005275,,
exp4_anion,RESULT,splat,oh_anion,85,19,12000,0,-75.76487636,272,531,-75.76487634,-0.00002008,,
exp4_anion,RESULT,splat,oh_anion,85,19,12000,1,-75.76674307,241,293,-75.76674350,0.00043388,,
exp4_anion,RESULT,splat,oh_anion,85,19,12000,2,-75.76934836,246,293,-75.76924765,-0.10071288,,
