_source,_record,kind,system,basis,nao,src,xc,E,dE_vs_dftax_mha,max_grad,wall_s,path,M,steps,seed,E_grid5,grid_bias_mha,grid_converged,peak_gpu_mb,peak_train_mb,polished,vs,ckpt,mu_D,exp_mu_D,exp_kind,exp_conformer,d_exp_mD,exp_target_D,d_target_mD,homo,lumo,gap,T,rho_nuc,mad_occ_mha,dF_max,dF_vs,maxF,L1_rho,L1_floor,conv,mu_grid_vs_analytic,n_occ,n_grid,occ_mo,E_hf,E_ccsd,E_ccsd_t,L1_rho_vs_pbe,nelec,gate_L1_pbe,screen_pad,stage,gradtheta_rms,gradC_rms,dF_src,wf_kind,wf_basis,L1_rho_wf,dF_wf,L1_rho_self,dF_self,frac_cbs
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-495.46013022,,,2768,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M468.eqx,468,12000,0,-495.46010940,-0.02081617,True,15405,657,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,alanine_dipeptide,,,,,-495.49513594,,,12301,experiments/exp2_observables/results/ckpt_alanine_dipeptide_M910.eqx,910,12000,0,-495.49412201,-1.01393209,False,29971,1423,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,ethanol,,,,,-154.92466466,,,3243,experiments/exp2_observables/results/ckpt_ethanol.eqx,432,12000,0,-154.92053988,-4.12478283,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,ethanol,,,,,-154.91366933,,,859,experiments/exp2_observables/results/ckpt_ethanol_M174.eqx,174,12000,0,-154.91330909,-0.36023293,False,2384,303,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,ethanol,,,,,-154.92130207,,,3206,experiments/exp2_observables/results/ckpt_ethanol_M345.eqx,345,12000,0,-154.92064102,-0.66105261,False,4727,593,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,ethanol,,,,,-154.66703732,,,376,experiments/exp2_observables/results/ckpt_ethanol_M72.eqx,72,12000,0,-154.66704252,0.00520314,True,988,245,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,water,,,,,-76.39156725,,,786,experiments/exp2_observables/results/ckpt_water.eqx,192,12000,0,-76.39037844,-1.18880546,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exp2_observables,RESULT,ckpt,water,,,,,-76.38937719,,,507,experiments/exp2_observables/results/ckpt_water_M115.eqx,115,12000,0,-76.38937726,0.00007634,True,561,246,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,water,,,,,-76.27858568,,,198,experiments/exp2_observables/results/ckpt_water_M24.eqx,24,12000,0,-76.27858559,-0.00008955,True,253,253,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,ckpt,water,,,,,-76.38596226,,,228,experiments/exp2_observables/results/ckpt_water_M58.eqx,58,12000,0,-76.38596224,-0.00002075,True,266,242,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00000000,,,,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,0.35366464,cc-pvqz,,,,,,,,,,,,,,,,ckpt,0.00127983,4.69e-08,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,0.38665681,cc-pvqz,,,,,,,,,,,,,,,,+2000@lr0.001,0.00004758,0.00005107,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,0.35681400,cc-pvqz,,,,,,,,,,,,,,,,+4000@lr0.0003,0.00004642,0.00003286,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,0.33859837,cc-pvqz,,,,,,,,,,,,,,,,+6000@lr0.0001,0.00008159,0.00003699,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,-494.75182417,,,,,200,,,-494.75166216,-0.1,,,,,,,,,,,,,,,,,,,,0.33662923,cc-pvqz,,,,,,,,,,,,,,,,final,,,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,0.06152417,cc-pvqz,,,,,,,,,,,,,,,,ckpt,0.00047714,7.90e-08,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,0.03610507,cc-pvqz,,,,,,,,,,,,,,,,+2000@lr0.001,0.00001460,0.00002251,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,0.03713784,cc-pvqz,,,,,,,,,,,,,,,,+4000@lr0.0003,0.00001194,0.00001310,,,,,,,,
exp2_observables,RESULT,forces,alanine_dipeptide,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,0.03721490,cc-pvqz,,,,,,,,,,,,,,,,+6000@lr0.0001,0.00001266,0.00001297,,,,,,,,
